,ISIN_code,company_name,industry,month,monthly_open,monthly_high,monthly_low,monthly_close,monthly_avg_price,monthly_price_range,monthly_return,sma_2_month
0,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,10,2967.9,3211.0,2654.7,3116.0,2993.45,556.3,4.99,3116.0
1,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,11,2960.0,2975.6,2928.4,2949.5,2949.5,47.2,-0.35,3032.75
2,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,10,1407.95,1469.0,1303.15,1425.2,1387.14,165.85,1.23,1425.2
3,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,11,1386.5,1397.95,1378.4,1394.4,1394.4,19.55,0.57,1409.8
4,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,10,6999.9,7200.0,6727.35,6905.95,6962.08,472.65,-1.34,6905.95
5,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,11,7022.7,7046.0,7000.75,7031.95,7031.95,45.25,0.13,6968.95
6,INE021A01026,Asian Paints Ltd.,Consumer Durables,10,2994.2,3225.9,2919.0,3149.3,3032.68,306.9,5.18,3149.3
7,INE021A01026,Asian Paints Ltd.,Consumer Durables,11,2958.0,2965.75,2930.0,2939.85,2939.85,35.75,-0.61,3044.58
8,INE238A01034,Axis Bank Ltd.,Financial Services,10,1165.5,1219.15,1124.0,1175.7,1169.12,95.15,0.88,1175.7
9,INE238A01034,Axis Bank Ltd.,Financial Services,11,1164.05,1172.5,1164.0,1169.55,1169.55,8.5,0.47,1172.63
