,ISIN_code,company_name,industry,timestamp,open,high,low,close,volume,average_price,daily_return,price_change,price_range,delta_close,sma_3,rsi
0,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-03,3150.0,3196.35,3084.1,3116.0,1309703.0,3136.61,-1.08,-34.0,80.35,,3116.0,
1,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-04,3119.9,3149.5,3070.0,3110.65,987583.0,3112.51,-0.3,-9.25,38.85,-5.35,3113.33,0.0
2,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-07,3110.65,3128.5,2980.45,3018.0,1743454.0,3059.4,-2.98,-92.65,110.5,-92.65,3081.55,0.0
3,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-08,3018.5,3170.0,2994.85,3160.7,1776511.0,3086.01,4.71,142.2,9.3,142.7,3096.45,59.29
4,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-09,3175.0,3179.95,3134.4,3153.75,897335.0,3160.78,-0.67,-21.25,26.2,-6.95,3110.82,57.62
5,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-10,3140.0,3211.0,3056.1,3174.2,2905725.0,3145.33,1.09,34.2,36.8,20.45,3162.88,60.85
6,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-11,3174.2,3190.0,3116.0,3137.2,1035260.0,3154.35,-1.17,-37.0,52.8,-37.0,3155.05,53.47
7,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-14,3145.0,3150.1,3092.85,3101.1,437728.0,3122.26,-1.4,-43.9,49.0,-36.1,3137.5,47.82
8,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-15,3124.0,3128.0,3091.5,3104.7,371613.0,3112.05,-0.62,-19.3,23.3,3.6,3114.33,48.36
9,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-16,3098.0,3115.4,3061.0,3085.9,543476.0,3090.08,-0.39,-12.1,29.5,-18.8,3097.23,45.86
10,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-17,3089.95,3100.0,2993.0,3013.75,2655289.0,3049.18,-2.47,-76.2,86.25,-72.15,3068.12,38.27
11,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-18,2990.0,3031.7,2968.1,3002.0,796339.0,2997.95,0.4,12.0,29.7,-11.75,3033.88,37.26
