,ISIN_code,company_name,industry,week_of_year,weekly_open,weekly_high,weekly_low,weekly_close,weekly_avg_price,weekly_price_range,weekly_return,sma_3_week
0,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,40,3119.9,3196.35,3070.0,3116.0,3113.33,126.35,-0.13,3116.0
1,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,41,3174.2,3211.0,2980.45,3018.0,3128.77,230.55,-4.92,3067.0
2,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,42,2990.0,3150.1,2968.1,3101.1,3061.49,182.0,3.72,3078.37
3,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,43,2845.0,3014.95,2654.7,2937.65,2824.13,360.25,3.26,3018.92
4,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,44,2960.0,2997.15,2672.1,2798.65,2902.66,325.05,-5.45,2945.8
5,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,40,1424.8,1469.0,1404.2,1425.2,1419.45,64.8,0.03,1425.2
6,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,41,1415.2,1432.95,1337.0,1355.2,1401.47,95.95,-4.24,1390.2
7,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,42,1389.0,1426.0,1376.0,1410.3,1406.94,50.0,1.53,1396.9
8,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,43,1360.0,1412.9,1304.15,1375.5,1350.38,108.75,1.14,1380.33
9,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,44,1386.5,1414.9,1303.15,1352.2,1378.29,111.75,-2.47,1379.33
10,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,40,6902.1,7200.0,6727.35,6905.95,6839.78,472.65,0.06,6905.95
11,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,41,6982.0,7070.0,6743.15,6773.15,6928.96,326.85,-2.99,6839.55
12,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,42,6983.3,7150.35,6950.0,7092.6,7055.25,200.35,1.57,6923.9
13,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,43,6954.15,7037.25,6854.75,6986.4,6936.82,182.5,0.46,6950.72
14,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,44,7022.7,7050.0,6794.25,6926.3,6990.18,255.75,-1.37,7001.77
15,INE021A01026,Asian Paints Ltd.,Consumer Durables,40,3135.0,3225.9,3054.55,3149.3,3110.9,171.35,0.46,3149.3
16,INE021A01026,Asian Paints Ltd.,Consumer Durables,41,3059.2,3146.7,3026.0,3062.25,3065.09,120.7,0.1,3105.78
17,INE021A01026,Asian Paints Ltd.,Consumer Durables,42,3057.0,3103.55,2980.6,3039.15,3047.27,122.95,-0.58,3083.57
18,INE021A01026,Asian Paints Ltd.,Consumer Durables,43,2975.5,3057.95,2951.0,3049.2,2995.15,106.95,2.48,3050.2
19,INE021A01026,Asian Paints Ltd.,Consumer Durables,44,2958.0,3028.0,2919.0,3001.85,2973.37,109.0,1.48,3030.07
20,INE238A01034,Axis Bank Ltd.,Financial Services,40,1175.5,1219.15,1173.1,1175.7,1177.05,46.05,0.02,1175.7
21,INE238A01034,Axis Bank Ltd.,Financial Services,41,1182.5,1191.0,1130.9,1145.7,1165.17,60.1,-3.11,1160.7
22,INE238A01034,Axis Bank Ltd.,Financial Services,42,1158.0,1203.85,1124.0,1164.35,1160.02,79.85,0.55,1161.92
23,INE238A01034,Axis Bank Ltd.,Financial Services,43,1187.0,1214.8,1154.65,1190.3,1176.63,60.15,0.28,1166.78
24,INE238A01034,Axis Bank Ltd.,Financial Services,44,1164.05,1194.0,1153.85,1171.6,1171.59,40.15,0.65,1175.42
